year,global_temp,global_7-year_moving_avg,city,city_temp,city_7-year_moving_avg
1851,8.18,,Rio De Janeiro,23.53,
1852,8.1,,Rio De Janeiro,23.74,
1853,8.04,,Rio De Janeiro,23.76,
1854,8.21,,Rio De Janeiro,23.83,
1855,8.11,,Rio De Janeiro,23.89,
1856,8,,Rio De Janeiro,22.83,
1857,7.76,8.06,Rio De Janeiro,23.46,23.58
1858,8.1,8.05,Rio De Janeiro,22.37,23.41
1859,8.25,8.07,Rio De Janeiro,23.04,23.31
1860,7.96,8.06,Rio De Janeiro,23.91,23.33
1861,7.85,8.00,Rio De Janeiro,23.04,23.22
1862,7.56,7.93,Rio De Janeiro,23.04,23.10
1863,8.11,7.94,Rio De Janeiro,22.95,23.12
1864,7.98,7.97,Rio De Janeiro,23.02,23.05
1865,8.18,7.98,Rio De Janeiro,22.89,23.13
1866,8.29,7.99,Rio De Janeiro,23.1,23.14
1867,8.44,8.06,Rio De Janeiro,23.26,23.04
1868,8.25,8.12,Rio De Janeiro,24.32,23.23
1869,8.43,8.24,Rio De Janeiro,24.2,23.39
1870,8.2,8.25,Rio De Janeiro,24.22,23.57
1871,8.12,8.27,Rio De Janeiro,23.84,23.69
1872,8.19,8.27,Rio De Janeiro,23.75,23.81
1873,8.35,8.28,Rio De Janeiro,23.94,23.93
1874,8.43,8.28,Rio De Janeiro,23.23,23.93
1875,7.86,8.23,Rio De Janeiro,22.85,23.72
1876,8.08,8.18,Rio De Janeiro,23.05,23.55
1877,8.54,8.22,Rio De Janeiro,23.8,23.49
1878,8.83,8.33,Rio De Janeiro,24.3,23.56
1879,8.17,8.32,Rio De Janeiro,22.84,23.43
1880,8.12,8.29,Rio De Janeiro,24.01,23.44
1881,8.27,8.27,Rio De Janeiro,23.29,23.45
1882,8.13,8.31,Rio De Janeiro,22.65,23.42
1883,7.98,8.29,Rio De Janeiro,22.98,23.41
1884,7.77,8.18,Rio De Janeiro,22.85,23.27
1885,7.92,8.05,Rio De Janeiro,23.75,23.20
1886,7.95,8.02,Rio De Janeiro,22.94,23.21
1887,7.91,7.99,Rio De Janeiro,23.49,23.14
1888,8.09,7.96,Rio De Janeiro,23.82,23.21
1889,8.32,7.99,Rio De Janeiro,24.17,23.43
1890,7.97,7.99,Rio De Janeiro,23.38,23.49
1891,8.02,8.03,Rio De Janeiro,23.55,23.59
1892,8.07,8.05,Rio De Janeiro,23.4,23.54
1893,8.06,8.06,Rio De Janeiro,22.68,23.50
1894,8.16,8.10,Rio De Janeiro,23.62,23.52
1895,8.15,8.11,Rio De Janeiro,23.36,23.45
1896,8.21,8.09,Rio De Janeiro,23.35,23.33
1897,8.29,8.14,Rio De Janeiro,23.31,23.32
1898,8.18,8.16,Rio De Janeiro,23.54,23.32
1899,8.4,8.21,Rio De Janeiro,23.95,23.40
1900,8.5,8.27,Rio De Janeiro,23.48,23.52
1901,8.54,8.32,Rio De Janeiro,23.07,23.44
1902,8.3,8.35,Rio De Janeiro,23.99,23.53
1903,8.22,8.35,Rio De Janeiro,23.73,23.58
1904,8.09,8.32,Rio De Janeiro,23.17,23.56
1905,8.23,8.33,Rio De Janeiro,23.84,23.60
1906,8.38,8.32,Rio De Janeiro,23.74,23.57
1907,7.95,8.24,Rio De Janeiro,23.36,23.56
1908,8.19,8.19,Rio De Janeiro,23.57,23.63
1909,8.18,8.18,Rio De Janeiro,23.33,23.53
1910,8.22,8.18,Rio De Janeiro,23.31,23.47
1911,8.18,8.19,Rio De Janeiro,23.36,23.50
1912,8.17,8.18,Rio De Janeiro,23.48,23.45
1913,8.3,8.17,Rio De Janeiro,23.72,23.45
1914,8.59,8.26,Rio De Janeiro,24.28,23.58
1915,8.59,8.32,Rio De Janeiro,24.06,23.65
1916,8.23,8.33,Rio De Janeiro,23.52,23.68
1917,8.02,8.30,Rio De Janeiro,22.62,23.58
1918,8.13,8.29,Rio De Janeiro,23.26,23.56
1919,8.38,8.32,Rio De Janeiro,23.73,23.60
1920,8.36,8.33,Rio De Janeiro,23.64,23.59
1921,8.57,8.33,Rio De Janeiro,23.41,23.46
1922,8.41,8.30,Rio De Janeiro,23.91,23.44
1923,8.42,8.33,Rio De Janeiro,23.85,23.49
1924,8.51,8.40,Rio De Janeiro,23.25,23.58
1925,8.53,8.45,Rio De Janeiro,23.49,23.61
1926,8.73,8.50,Rio De Janeiro,23.83,23.63
1927,8.52,8.53,Rio De Janeiro,23.67,23.63
1928,8.63,8.54,Rio De Janeiro,24.09,23.73
1929,8.24,8.51,Rio De Janeiro,23.8,23.71
1930,8.63,8.54,Rio De Janeiro,24.04,23.74
1931,8.72,8.57,Rio De Janeiro,23.54,23.78
1932,8.71,8.60,Rio De Janeiro,24.23,23.89
1933,8.34,8.54,Rio De Janeiro,23.01,23.77
1934,8.63,8.56,Rio De Janeiro,23.79,23.79
1935,8.52,8.54,Rio De Janeiro,23.89,23.76
1936,8.55,8.59,Rio De Janeiro,24.02,23.79
1937,8.7,8.60,Rio De Janeiro,23.61,23.73
1938,8.86,8.62,Rio De Janeiro,23.92,23.78
1939,8.76,8.62,Rio De Janeiro,23.95,23.74
1940,8.76,8.68,Rio De Janeiro,24.17,23.91
1941,8.77,8.70,Rio De Janeiro,24.22,23.97
1942,8.73,8.73,Rio De Janeiro,23.86,23.96
